design_id,t,L_gusset,r_toe
sub_01,4.799384,15.685759,1.311095
sub_02,4.946469,23.670930,1.591769
sub_03,4.579529,16.622675,2.391989
sub_04,4.642732,18.269415,2.296431
sub_05,4.902366,18.688957,2.621882
sub_06,4.716374,22.726209,2.792910
sub_07,4.532129,20.517949,1.173371
sub_08,4.861678,24.640962,1.865948
sub_09,4.731858,21.524454,2.066663
