tag,maxh,linear_nodes,tets,est_c3d10_nodes,est_elem_pct_of_ceiling,est_eq,est_eq_pct_of_ceiling,gen_time_s
attempt117_hull,3.0,9609,28155,57676,12.24,173028,14.66,1.56
attempt117_hull,2.0,23778,77700,159171,33.78,477513,40.47,7.05
attempt117_hull,1.8,29085,94479,193543,41.08,580629,49.21,5.25
attempt117_star,3.0,9795,28338,58051,12.32,174153,14.76,1.63
attempt117_star,2.0,23853,77342,158437,33.63,475311,40.28,4.44
attempt117_star,1.8,29346,94995,194600,41.3,583800,49.47,5.4
attempt118_hull,3.0,9586,28115,57594,12.22,172782,14.64,1.65
attempt118_hull,2.0,23349,76474,156659,33.25,469977,39.83,4.35
attempt118_hull,1.8,28798,93825,192203,40.79,576609,48.87,5.23
attempt118_star,3.0,9820,28467,58315,12.38,174945,14.83,4.31
attempt118_star,2.0,23875,77639,159046,33.76,477138,40.44,4.44
attempt118_star,1.8,29131,94459,193502,41.07,580506,49.2,5.42
attempt119_hull,3.0,9655,28283,57939,12.3,173817,14.73,1.59
attempt119_hull,2.0,23735,77607,158980,33.74,476940,40.42,4.34
attempt119_hull,1.8,29147,94825,194252,41.23,582756,49.39,5.31
attempt11_hull,3.0,9784,28635,58660,12.45,175980,14.91,1.6
attempt11_hull,2.0,23784,77733,159238,33.8,477714,40.48,4.37
attempt11_hull,1.8,29102,94574,193738,41.12,581214,49.26,7.98
attempt11_star,3.0,9708,28277,57926,12.29,173778,14.73,1.63
attempt11_star,2.0,23866,77821,159419,33.84,478257,40.53,4.41
attempt11_star,1.8,29244,94876,194356,41.25,583068,49.41,5.31
attempt120_hull,3.0,9569,28042,57445,12.19,172335,14.6,1.54
attempt120_hull,2.0,23503,76901,157534,33.44,472602,40.05,4.44
attempt120_hull,1.8,28830,94001,192564,40.87,577692,48.96,5.34
attempt121_hull,3.0,9612,28109,57582,12.22,172746,14.64,1.57
attempt121_hull,2.0,23757,77581,158927,33.73,476781,40.41,4.36
attempt121_hull,1.8,28984,94222,193016,40.97,579048,49.07,5.3
attempt121_star,3.0,9617,28111,57586,12.22,172758,14.64,1.6
attempt121_star,2.0,23857,78012,159810,33.92,479430,40.63,4.34
attempt121_star,1.8,29122,94721,194039,41.18,582117,49.33,5.56
attempt122_hull,3.0,9664,28206,57781,12.26,173343,14.69,5.46
attempt122_hull,2.0,23757,77561,158886,33.72,476658,40.39,4.44
attempt122_hull,1.8,29028,94378,193336,41.03,580008,49.15,5.32
attempt122_star,3.0,9851,28734,58862,12.49,176586,14.96,1.63
attempt122_star,2.0,23802,77444,158646,33.67,475938,40.33,4.39
attempt122_star,1.8,29165,94736,194069,41.19,582207,49.34,5.35
attempt123_hull,3.0,9711,28389,58156,12.34,174468,14.79,1.55
attempt123_hull,2.0,23745,77468,158695,33.68,476085,40.35,4.33
attempt123_hull,1.8,28973,94196,192963,40.95,578889,49.06,7.91
attempt123_star,3.0,9809,28427,58234,12.36,174702,14.81,1.63
attempt123_star,2.0,23986,77969,159722,33.9,479166,40.61,4.5
attempt123_star,1.8,29094,94255,193084,40.98,579252,49.09,5.4
attempt124_hull,3.0,9434,27644,56630,12.02,169890,14.4,1.54
attempt124_hull,2.0,23397,76615,156948,33.31,470844,39.9,4.57
attempt124_hull,1.8,28618,93290,191107,40.56,573321,48.59,5.24
attempt124_star,3.0,9591,28009,57377,12.18,172131,14.59,1.59
attempt124_star,2.0,23704,77373,158501,33.64,475503,40.3,4.39
attempt124_star,1.8,28848,93776,192103,40.77,576309,48.84,8.02
attempt125_hull,3.0,9702,28386,58150,12.34,174450,14.78,1.6
attempt125_hull,2.0,23779,77651,159070,33.76,477210,40.44,4.37
attempt125_hull,1.8,28984,94362,193303,41.03,579909,49.14,5.23
attempt125_star,3.0,9775,28399,58176,12.35,174528,14.79,1.64
attempt125_star,2.0,23783,77361,158476,33.64,475428,40.29,4.45
attempt125_star,1.8,29096,94403,193387,41.04,580161,49.17,5.46
attempt126_hull,3.0,9683,28327,58029,12.32,174087,14.75,1.59
attempt126_hull,2.0,23880,78057,159902,33.94,479706,40.65,7.02
attempt126_hull,1.8,29040,94560,193709,41.11,581127,49.25,5.3
attempt126_star,3.0,9644,28057,57476,12.2,172428,14.61,1.58
attempt126_star,2.0,23806,77635,159038,33.75,477114,40.43,4.61
attempt126_star,1.8,29061,94333,193244,41.01,579732,49.13,5.29
attempt127_hull,3.0,9615,28195,57758,12.26,173274,14.68,1.54
attempt127_hull,2.0,23589,77150,158044,33.54,474132,40.18,4.18
attempt127_hull,1.8,28838,94019,192601,40.88,577803,48.97,5.13
attempt128_hull,3.0,9623,28190,57748,12.26,173244,14.68,1.53
attempt128_hull,2.0,23595,77182,158110,33.56,474330,40.2,7.47
attempt128_hull,1.8,28929,94159,192887,40.94,578661,49.04,5.19
attempt128_star,3.0,9870,28771,58938,12.51,176814,14.98,1.61
attempt128_star,2.0,23643,77116,157974,33.53,473922,40.16,4.35
attempt128_star,1.8,29040,94310,193197,41.0,579591,49.12,5.32
attempt129_hull,3.0,9586,28052,57465,12.2,172395,14.61,1.53
attempt129_hull,2.0,23793,77733,159238,33.8,477714,40.48,4.25
attempt129_hull,1.8,29044,94573,193736,41.12,581208,49.25,5.21
attempt129_star,3.0,9706,28402,58182,12.35,174546,14.79,1.57
attempt129_star,2.0,23614,77213,158173,33.57,474519,40.21,7.71
