tag,maxh,linear_nodes,tets,est_c3d10_nodes,est_elem_pct_of_ceiling,est_eq,est_eq_pct_of_ceiling,gen_time_s
attempt40_star,2.0,23676,77217,158181,33.57,474543,40.22,4.41
attempt40_star,1.8,29054,94288,193152,40.99,579456,49.11,5.4
attempt41_hull,3.0,9695,28339,58053,12.32,174159,14.76,1.54
attempt41_hull,2.0,23973,78237,160271,34.02,480813,40.75,4.25
attempt41_hull,1.8,29310,95301,195227,41.44,585681,49.63,8.52
attempt41_star,3.0,9740,28476,58334,12.38,175002,14.83,1.62
attempt41_star,2.0,24008,78331,160463,34.06,481389,40.8,4.35
attempt41_star,1.8,29376,95561,195759,41.55,587277,49.77,5.22
attempt42_hull,3.0,9644,28132,57629,12.23,172887,14.65,1.51
attempt42_hull,2.0,23678,77313,158378,33.61,475134,40.27,4.21
attempt42_hull,1.8,29071,94555,193699,41.11,581097,49.25,5.11
attempt42_star,3.0,9724,28210,57789,12.27,173367,14.69,1.55
attempt42_star,2.0,23780,77228,158204,33.58,474612,40.22,4.3
attempt42_star,1.8,29089,94239,193051,40.97,579153,49.08,8.64
attempt43_hull,3.0,9633,28136,57637,12.23,172911,14.65,1.69
attempt43_hull,2.0,23659,77335,158423,33.62,475269,40.28,4.33
attempt43_hull,1.8,28826,93861,192277,40.81,576831,48.88,5.15
attempt43_star,3.0,9712,28391,58160,12.34,174480,14.79,1.57
attempt43_star,2.0,23783,77722,159216,33.79,477648,40.48,4.41
attempt43_star,1.8,29028,94491,193568,41.08,580704,49.21,5.18
attempt44_hull,3.0,9747,28521,58426,12.4,175278,14.85,1.64
attempt44_hull,2.0,23782,77784,159343,33.82,478029,40.51,4.32
attempt44_hull,1.8,29080,94580,193750,41.12,581250,49.26,8.62
attempt44_star,3.0,9595,27984,57326,12.17,171978,14.57,1.56
attempt44_star,2.0,23628,77100,157942,33.52,473826,40.15,4.24
attempt44_star,1.8,29018,94341,193260,41.02,579780,49.13,5.33
attempt45_hull,3.0,9635,28210,57789,12.27,173367,14.69,1.55
attempt45_hull,2.0,23744,77701,159173,33.78,477519,40.47,4.2
attempt45_hull,1.8,29051,94543,193674,41.11,581022,49.24,5.22
attempt45_star,3.0,9730,28384,58145,12.34,174435,14.78,1.59
attempt45_star,2.0,23744,77432,158622,33.67,475866,40.33,7.62
attempt45_star,1.8,29192,94851,194305,41.24,582915,49.4,5.47
attempt46_hull,3.0,9705,28412,58203,12.35,174609,14.8,1.55
attempt46_hull,2.0,23622,77227,158202,33.58,474606,40.22,4.23
attempt46_hull,1.8,28886,94102,192771,40.91,578313,49.01,5.17
attempt46_star,3.0,9809,28565,58516,12.42,175548,14.88,1.67
attempt46_star,2.0,23722,77288,158327,33.6,474981,40.25,4.3
attempt46_star,1.8,29011,94181,192933,40.95,578799,49.05,5.27
attempt48_hull,3.0,9598,28123,57611,12.23,172833,14.65,1.56
attempt48_hull,2.0,23411,76609,156936,33.31,470808,39.9,7.67
attempt48_hull,1.8,28695,93510,191558,40.66,574674,48.7,5.25
attempt49_hull,3.0,9801,28677,58746,12.47,176238,14.94,1.57
attempt49_hull,2.0,23884,77962,159707,33.9,479121,40.6,4.28
attempt49_hull,1.8,29038,94447,193477,41.06,580431,49.19,5.16
attempt49_star,3.0,9567,27973,57304,12.16,171912,14.57,1.55
attempt49_star,2.0,23731,77509,158779,33.7,476337,40.37,4.28
attempt49_star,1.8,29140,94736,194069,41.19,582207,49.34,5.2
attempt4_hull,3.0,9554,27911,57176,12.14,171528,14.54,4.72
attempt4_hull,2.0,23758,77560,158884,33.72,476652,40.39,4.4
attempt4_hull,1.8,29068,94541,193670,41.1,581010,49.24,5.24
attempt4_star,3.0,9717,28279,57930,12.3,173790,14.73,1.56
attempt4_star,2.0,23805,77536,158835,33.71,476505,40.38,4.37
attempt4_star,1.8,29105,94591,193772,41.13,581316,49.26,5.32
attempt50_hull,3.0,9586,28035,57431,12.19,172293,14.6,1.55
attempt50_hull,2.0,23792,77688,159146,33.78,477438,40.46,4.3
attempt50_hull,1.8,29096,94733,194063,41.19,582189,49.34,7.98
attempt50_star,3.0,9755,28528,58440,12.4,175320,14.86,1.58
attempt50_star,2.0,23828,77773,159320,33.81,477960,40.51,4.54
attempt50_star,1.8,29215,95025,194661,41.32,583983,49.49,5.33
attempt51_hull,3.0,9693,28212,57793,12.27,173379,14.69,1.58
attempt51_hull,2.0,23681,77061,157862,33.5,473586,40.13,4.23
attempt51_hull,1.8,29004,94106,192779,40.92,578337,49.01,5.21
attempt51_star,3.0,9603,27871,57095,12.12,171285,14.52,1.56
attempt51_star,2.0,23582,76726,157175,33.36,471525,39.96,4.33
attempt51_star,1.8,28960,93775,192101,40.77,576303,48.84,8.11
attempt52_hull,3.0,9574,27986,57330,12.17,171990,14.58,1.55
attempt52_hull,2.0,23514,76894,157520,33.43,472560,40.05,4.32
attempt52_hull,1.8,28953,94166,192902,40.94,578706,49.04,5.47
attempt52_star,3.0,9751,28399,58176,12.35,174528,14.79,1.61
attempt52_star,2.0,23618,77048,157835,33.5,473505,40.13,4.33
attempt52_star,1.8,29026,94250,193074,40.98,579222,49.09,5.32
attempt53_hull,3.0,9676,28309,57992,12.31,173976,14.74,1.6
attempt53_hull,2.0,23904,78083,159955,33.95,479865,40.67,4.44
attempt53_hull,1.8,28946,94202,192976,40.96,578928,49.06,8.11
attempt53_star,3.0,9655,28081,57525,12.21,172575,14.62,1.6
attempt53_star,2.0,23939,77848,159474,33.85,478422,40.54,4.5
attempt53_star,1.8,29043,94234,193041,40.97,579123,49.08,5.39
attempt54_hull,3.0,9462,27699,56742,12.04,170226,14.43,1.55
attempt54_hull,2.0,23443,76747,157218,33.37,471654,39.97,4.46
attempt54_hull,1.8,28694,93480,191496,40.64,574488,48.69,5.22
attempt54_star,3.0,9614,27984,57326,12.17,171978,14.57,1.67
attempt54_star,2.0,23726,77273,158296,33.6,474888,40.24,7.25
attempt54_star,1.8,28854,93667,191880,40.72,575640,48.78,5.37
attempt56_star,3.0,9633,27981,57320,12.17,171960,14.57,1.63
attempt56_star,2.0,23651,77032,157802,33.49,473406,40.12,4.44
attempt56_star,1.8,28779,93402,191337,40.61,574011,48.65,5.39
attempt57_hull,3.0,9659,28202,57773,12.26,173319,14.69,1.6
attempt57_hull,2.0,23854,77943,159668,33.89,479004,40.59,4.43
attempt57_hull,1.8,29290,95132,194881,41.36,584643,49.55,5.4
attempt57_star,3.0,9810,28635,58660,12.45,175980,14.91,1.63
attempt57_star,2.0,23843,77795,159365,33.82,478095,40.52,7.21
attempt57_star,1.8,29160,94712,194020,41.18,582060,49.33,5.42
attempt58_hull,3.0,9593,28075,57512,12.21,172536,14.62,1.63
attempt58_hull,2.0,23577,77182,158110,33.56,474330,40.2,4.32
attempt58_hull,1.8,28939,94129,192826,40.93,578478,49.02,5.29
attempt59_hull,3.0,9655,28200,57769,12.26,173307,14.69,1.54
attempt59_hull,2.0,23829,77740,159253,33.8,477759,40.49,4.41
attempt59_hull,1.8,29108,94656,193906,41.15,581718,49.3,5.24
attempt59_star,3.0,9792,28344,58064,12.32,174192,14.76,4.45
attempt59_star,2.0,23962,77827,159431,33.84,478293,40.53,4.42
attempt59_star,1.8,29259,94786,194172,41.21,582516,49.37,5.26
attempt60_hull,3.0,9794,28678,58748,12.47,176244,14.94,1.61
attempt60_hull,2.0,23751,77661,159091,33.77,477273,40.45,4.37
attempt60_hull,1.8,29082,94644,193881,41.15,581643,49.29,5.3
attempt61_hull,3.0,9634,28150,57666,12.24,172998,14.66,1.59
attempt61_hull,2.0,23687,77507,158775,33.7,476325,40.37,4.36
attempt61_hull,1.8,29022,94490,193565,41.08,580695,49.21,8.03
attempt61_star,3.0,9835,28678,58748,12.47,176244,14.94,1.62
attempt61_star,2.0,23812,77584,158933,33.73,476799,40.41,4.4
attempt61_star,1.8,29001,94198,192967,40.96,578901,49.06,5.34
attempt62_hull,3.0,9632,28219,57807,12.27,173421,14.7,1.59
attempt62_hull,2.0,23594,77219,158185,33.57,474555,40.22,4.52
attempt62_hull,1.8,28794,93854,192263,40.81,576789,48.88,5.29
attempt62_star,3.0,9608,28112,57588,12.22,172764,14.64,1.62
attempt62_star,2.0,23603,77264,158278,33.59,474834,40.24,4.36
attempt62_star,1.8,28796,93791,192134,40.78,576402,48.85,8.13
attempt63_hull,3.0,9654,28297,57967,12.3,173901,14.74,1.64
attempt63_hull,2.0,23873,78020,159826,33.92,479478,40.63,4.42
attempt63_hull,1.8,29009,94445,193473,41.06,580419,49.19,5.38
attempt64_hull,3.0,9597,28108,57580,12.22,172740,14.64,1.56
attempt64_hull,2.0,23637,77342,158437,33.63,475311,40.28,4.33
attempt64_hull,1.8,28928,94190,192951,40.95,578853,49.06,5.2
attempt64_star,3.0,9794,28421,58221,12.36,174663,14.8,1.63
attempt64_star,2.0,23794,77375,158505,33.64,475515,40.3,7.31
attempt64_star,1.8,28876,93566,191673,40.68,575019,48.73,5.32
attempt65_hull,3.0,9669,28296,57965,12.3,173895,14.74,1.59
attempt65_hull,2.0,23954,78252,160301,34.02,480903,40.75,4.35
attempt65_hull,1.8,29225,95138,194893,41.36,584679,49.55,5.29
attempt65_star,3.0,9643,28301,57975,12.3,173925,14.74,1.59
attempt65_star,2.0,23910,78068,159925,33.94,479775,40.66,4.54
attempt65_star,1.8,29268,95261,195145,41.42,585435,49.61,5.37
attempt66_hull,3.0,9707,28310,57994,12.31,173982,14.74,1.59
attempt66_hull,2.0,23750,77416,158589,33.66,475767,40.32,7.06
attempt66_hull,1.8,29037,94446,193475,41.06,580425,49.19,5.31
attempt67_hull,3.0,9602,28071,57504,12.2,172512,14.62,1.55
attempt67_hull,2.0,23606,77210,158167,33.57,474501,40.21,4.29
attempt67_hull,1.8,28887,93982,192525,40.86,577575,48.95,5.19
attempt67_star,3.0,9693,28079,57521,12.21,172563,14.62,1.58
attempt67_star,2.0,23855,77435,158628,33.67,475884,40.33,4.4
attempt67_star,1.8,29096,94182,192935,40.95,578805,49.05,5.34
attempt6_hull,3.0,9657,28285,57943,12.3,173829,14.73,1.56
attempt6_hull,2.0,23708,77510,158781,33.7,476343,40.37,7.12
attempt6_hull,1.8,28911,94234,193041,40.97,579123,49.08,5.61
attempt6_star,3.0,9657,28049,57459,12.2,172377,14.61,1.58
attempt6_star,2.0,23716,77222,158192,33.57,474576,40.22,4.41
attempt6_star,1.8,28991,94031,192625,40.88,577875,48.97,5.34
attempt70_hull,3.0,9526,27893,57140,12.13,171420,14.53,1.56
attempt70_hull,2.0,23538,76922,157577,33.44,472731,40.06,4.28
attempt70_hull,1.8,28907,94176,192922,40.95,578766,49.05,5.29
attempt70_star,3.0,9699,28098,57560,12.22,172680,14.63,4.42
attempt70_star,2.0,23752,77190,158126,33.56,474378,40.2,4.62
attempt70_star,1.8,29049,94074,192713,40.9,578139,48.99,5.42
attempt72_star,3.0,9739,28378,58133,12.34,174399,14.78,1.65
attempt72_star,2.0,23623,77071,157882,33.51,473646,40.14,4.43
attempt72_star,1.8,28873,93800,192152,40.78,576456,48.85,5.54
attempt74_hull,3.0,9555,27941,57238,12.15,171714,14.55,1.69
attempt74_hull,2.0,23710,77603,158972,33.74,476916,40.42,4.47
attempt74_hull,1.8,28933,94127,192822,40.92,578466,49.02,8.3
attempt74_star,3.0,9513,27760,56867,12.07,170601,14.46,1.54
attempt74_star,2.0,23456,76538,156790,33.28,470370,39.86,4.22
attempt74_star,1.8,28835,93771,192093,40.77,576279,48.84,5.28
attempt75_hull,3.0,9620,28154,57674,12.24,173022,14.66,1.64
attempt75_hull,2.0,23800,77790,159355,33.82,478065,40.51,4.37
attempt75_hull,1.8,29089,94685,193965,41.17,581895,49.31,5.4
attempt75_star,3.0,9590,28114,57592,12.22,172776,14.64,1.6
attempt75_star,2.0,23824,77885,159550,33.86,478650,40.56,4.46
attempt75_star,1.8,29051,94635,193863,41.15,581589,49.29,8.51
attempt76_hull,3.0,9587,28004,57367,12.18,172101,14.58,1.57
attempt76_hull,2.0,23479,76726,157175,33.36,471525,39.96,4.28
attempt76_hull,1.8,28840,93916,192390,40.83,577170,48.91,5.21
attempt77_hull,3.0,9598,28115,57594,12.22,172782,14.64,1.58
attempt77_hull,2.0,23342,76456,156622,33.24,469866,39.82,4.34
attempt77_hull,1.8,28692,93494,191525,40.65,574575,48.69,5.3
attempt77_star,3.0,9614,28013,57385,12.18,172155,14.59,1.6
attempt77_star,2.0,23712,77462,158683,33.68,476049,40.34,7.41
attempt77_star,1.8,28900,93960,192480,40.85,577440,48.94,5.31
attempt78_hull,3.0,9623,28186,57740,12.25,173220,14.68,1.58
attempt78_hull,2.0,23759,77724,159220,33.79,477660,40.48,4.38
attempt78_hull,1.8,29124,94795,194190,41.22,582570,49.37,5.28
attempt79_hull,3.0,9630,28171,57709,12.25,173127,14.67,1.56
attempt79_hull,2.0,23700,77412,158581,33.66,475743,40.32,4.32
attempt79_hull,1.8,29053,94592,193774,41.13,581322,49.26,5.3
attempt79_star,3.0,9815,28400,58178,12.35,174534,14.79,1.65
attempt79_star,2.0,23875,77442,158642,33.67,475926,40.33,7.43
attempt79_star,1.8,29028,93867,192289,40.81,576867,48.89,5.4
attempt7_hull,3.0,9678,28261,57893,12.29,173679,14.72,1.59
attempt7_hull,2.0,23512,76894,157520,33.43,472560,40.05,4.4
attempt7_hull,1.8,28929,94274,193123,40.99,579369,49.1,5.26
attempt80_hull,3.0,9469,27714,56773,12.05,170319,14.43,1.54
attempt80_hull,2.0,23433,76629,156977,33.32,470931,39.91,4.3
attempt80_hull,1.8,29086,94700,193996,41.17,581988,49.32,5.52
attempt80_star,3.0,9571,27866,57084,12.12,171252,14.51,4.44
attempt80_star,2.0,23525,76843,157415,33.41,472245,40.02,4.43
attempt80_star,1.8,28875,93861,192277,40.81,576831,48.88,5.38
attempt81_hull,3.0,9658,28261,57893,12.29,173679,14.72,1.55
attempt81_hull,2.0,23836,77842,159462,33.84,478386,40.54,4.28
attempt81_hull,1.8,29148,94768,194135,41.2,582405,49.36,5.28
attempt81_star,3.0,9643,28250,57871,12.28,173613,14.71,1.58
attempt81_star,2.0,23730,77459,158677,33.68,476031,40.34,4.35
attempt81_star,1.8,29099,94749,194096,41.2,582288,49.35,8.39
attempt82_hull,3.0,9607,28123,57611,12.23,172833,14.65,1.55
attempt82_hull,2.0,23579,77064,157868,33.51,473604,40.14,4.31
attempt82_hull,1.8,29100,94707,194010,41.18,582030,49.32,5.33
attempt82_star,3.0,9692,28359,58094,12.33,174282,14.77,1.55
attempt82_star,2.0,23639,77301,158353,33.61,475059,40.26,4.35
attempt82_star,1.8,29059,94559,193707,41.11,581121,49.25,5.27
attempt83_hull,3.0,9496,27807,56963,12.09,170889,14.48,1.53
attempt83_hull,2.0,23434,76661,157042,33.33,471126,39.93,4.27
attempt83_hull,1.8,28855,93930,192418,40.84,577254,48.92,8.21
attempt83_star,3.0,9488,27718,56781,12.05,170343,14.44,1.54
attempt83_star,2.0,23487,76771,157268,33.38,471804,39.98,4.35
attempt83_star,1.8,28841,93876,192308,40.82,576924,48.89,5.25
attempt84_hull,3.0,9711,28324,58023,12.31,174069,14.75,1.58
attempt84_hull,2.0,23764,77526,158814,33.71,476442,40.38,4.3
attempt84_hull,1.8,29079,94485,193555,41.08,580665,49.21,5.25
attempt84_star,3.0,9741,28446,58272,12.37,174816,14.81,1.59
attempt84_star,2.0,23754,77453,158665,33.68,475995,40.34,4.34
attempt84_star,1.8,29245,95007,194625,41.31,583875,49.48,8.41
attempt85_hull,3.0,9609,28091,57545,12.21,172635,14.63,1.54
attempt85_hull,2.0,23700,77512,158786,33.7,476358,40.37,4.29
attempt85_hull,1.8,29017,94563,193715,41.11,581145,49.25,5.28
attempt86_hull,3.0,9561,28022,57404,12.18,172212,14.59,1.57
attempt86_hull,2.0,23580,77165,158075,33.55,474225,40.19,4.27
attempt86_hull,1.8,28824,93911,192379,40.83,577137,48.91,5.28
attempt86_star,3.0,9746,28360,58096,12.33,174288,14.77,1.59
attempt86_star,2.0,23854,77802,159380,33.83,478140,40.52,7.47
attempt86_star,1.8,29029,94310,193197,41.0,579591,49.12,5.31
attempt87_hull,3.0,9712,28413,58205,12.35,174615,14.8,1.56
attempt87_hull,2.0,23643,77281,158312,33.6,474936,40.25,4.27
attempt87_hull,1.8,29002,94459,193502,41.07,580506,49.2,5.18
attempt88_hull,3.0,9591,28083,57529,12.21,172587,14.63,1.61
attempt88_hull,2.0,23672,77420,158597,33.66,475791,40.32,4.32
attempt88_hull,1.8,28917,94205,192982,40.96,578946,49.06,5.23
attempt88_star,3.0,9757,28291,57955,12.3,173865,14.73,1.68
attempt88_star,2.0,23994,77937,159656,33.89,478968,40.59,7.88
attempt88_star,1.8,29063,94119,192805,40.92,578415,49.02,5.47
attempt89_hull,3.0,9647,28117,57598,12.22,172794,14.64,1.57
attempt89_hull,2.0,23646,77041,157821,33.5,473463,40.12,4.19
attempt89_hull,1.8,29094,94343,193264,41.02,579792,49.13,5.13
attempt8_hull,3.0,9629,28233,57836,12.28,173508,14.7,1.51
attempt8_hull,2.0,23500,76943,157620,33.45,472860,40.07,4.3
attempt8_hull,1.8,28812,93835,192224,40.8,576672,48.87,5.21
attempt90_star,3.0,9867,28577,58541,12.42,175623,14.88,1.6
attempt90_star,2.0,23971,77771,159316,33.81,477948,40.5,7.72
attempt90_star,1.8,29480,95236,195094,41.41,585282,49.6,5.53
attempt92_hull,3.0,9647,28206,57781,12.26,173343,14.69,1.61
attempt92_hull,2.0,23876,78036,159859,33.93,479577,40.64,4.37
attempt92_hull,1.8,29144,94823,194248,41.23,582744,49.39,5.2
attempt93_hull,3.0,9627,28181,57730,12.25,173190,14.68,1.52
attempt93_hull,2.0,23608,77252,158253,33.59,474759,40.23,4.24
attempt93_hull,1.8,28880,93956,192472,40.85,577416,48.93,5.09
attempt93_star,3.0,9590,27965,57287,12.16,171861,14.56,4.51
attempt93_star,2.0,23570,76977,157690,33.47,473070,40.09,4.41
attempt93_star,1.8,28966,94145,192859,40.93,578577,49.03,5.3
attempt94_hull,3.0,9525,27851,57054,12.11,171162,14.51,1.64
attempt94_hull,2.0,23435,76603,156923,33.31,470769,39.9,4.48
attempt94_hull,1.8,28775,93597,191736,40.69,575208,48.75,5.16
attempt95_hull,3.0,9568,28021,57402,12.18,172206,14.59,1.56
attempt95_hull,2.0,23545,77040,157819,33.5,473457,40.12,4.27
attempt95_hull,1.8,28836,94049,192662,40.89,577986,48.98,8.66
attempt96_hull,3.0,9719,28461,58303,12.37,174909,14.82,1.71
attempt96_hull,2.0,23711,77556,158876,33.72,476628,40.39,4.64
attempt96_hull,1.8,29106,94824,194250,41.23,582750,49.39,5.54
attempt97_hull,3.0,9651,28236,57842,12.28,173526,14.71,1.54
attempt97_hull,2.0,23943,78167,160127,33.99,480381,40.71,4.32
attempt97_hull,1.8,29112,94710,194016,41.18,582048,49.33,5.21
attempt97_star,3.0,9758,28500,58383,12.39,175149,14.84,1.59
attempt97_star,2.0,23835,77615,158997,33.75,476991,40.42,4.28
attempt97_star,1.8,29287,95072,194758,41.34,584274,49.51,7.71
attempt98_hull,3.0,9823,28632,58653,12.45,175959,14.91,1.56
attempt98_hull,2.0,23847,77576,158917,33.73,476751,40.4,4.32
attempt98_hull,1.8,29076,94369,193318,41.03,579954,49.15,5.13
attempt99_hull,3.0,9575,27921,57197,12.14,171591,14.54,1.53
attempt99_hull,2.0,23828,77700,159171,33.78,477513,40.47,4.31
attempt99_hull,1.8,29045,94407,193395,41.05,580185,49.17,5.19
attempt99_star,3.0,9737,28244,57859,12.28,173577,14.71,1.58
attempt99_star,2.0,23822,77407,158570,33.66,475710,40.31,4.44
attempt99_star,1.8,29106,94367,193314,41.03,579942,49.15,9.22
attempt9_hull,3.0,9648,28179,57725,12.25,173175,14.68,1.69
attempt9_hull,2.0,23491,76761,157247,33.37,471741,39.98,4.31
attempt9_hull,1.8,28876,93932,192422,40.84,577266,48.92,5.26
attempt9_star,3.0,9620,28102,57568,12.22,172704,14.64,1.51
attempt9_star,2.0,23498,76698,157118,33.35,471354,39.95,4.22
attempt9_star,1.8,28930,94049,192662,40.89,577986,48.98,5.16
