tag,maxh,status,n_solids,n_faces,linear_nodes,tets,gen_time_s
attempt120_hull,1.8,ok,1,42,28830,94001,5.34
attempt121_hull,3.0,ok,1,38,9612,28109,1.57
attempt121_hull,2.0,ok,1,38,23757,77581,4.36
attempt121_hull,1.8,ok,1,38,28984,94222,5.3
attempt121_star,3.0,ok,1,38,9617,28111,1.6
attempt121_star,2.0,ok,1,38,23857,78012,4.34
attempt121_star,1.8,ok,1,38,29122,94721,5.56
attempt122_hull,3.0,ok,1,38,9664,28206,5.46
attempt122_hull,2.0,ok,1,38,23757,77561,4.44
attempt122_hull,1.8,ok,1,38,29028,94378,5.32
attempt122_star,3.0,ok,1,42,9851,28734,1.63
attempt122_star,2.0,ok,1,42,23802,77444,4.39
attempt122_star,1.8,ok,1,42,29165,94736,5.35
attempt123_hull,3.0,ok,1,34,9711,28389,1.55
attempt123_hull,2.0,ok,1,34,23745,77468,4.33
attempt123_hull,1.8,ok,1,34,28973,94196,7.91
attempt123_star,3.0,ok,1,46,9809,28427,1.63
attempt123_star,2.0,ok,1,46,23986,77969,4.5
attempt123_star,1.8,ok,1,46,29094,94255,5.4
attempt124_hull,3.0,ok,1,38,9434,27644,1.54
attempt124_hull,2.0,ok,1,38,23397,76615,4.57
attempt124_hull,1.8,ok,1,38,28618,93290,5.24
attempt124_star,3.0,ok,1,50,9591,28009,1.59
attempt124_star,2.0,ok,1,50,23704,77373,4.39
attempt124_star,1.8,ok,1,50,28848,93776,8.02
attempt125_hull,3.0,ok,1,38,9702,28386,1.6
attempt125_hull,2.0,ok,1,38,23779,77651,4.37
attempt125_hull,1.8,ok,1,38,28984,94362,5.23
attempt125_star,3.0,ok,1,54,9775,28399,1.64
attempt125_star,2.0,ok,1,54,23783,77361,4.45
attempt125_star,1.8,ok,1,54,29096,94403,5.46
attempt126_hull,3.0,ok,1,42,9683,28327,1.59
attempt126_hull,2.0,ok,1,42,23880,78057,7.02
attempt126_hull,1.8,ok,1,42,29040,94560,5.3
attempt126_star,3.0,ok,1,58,9644,28057,1.58
attempt126_star,2.0,ok,1,58,23806,77635,4.61
attempt126_star,1.8,ok,1,58,29061,94333,5.29
attempt127_hull,3.0,ok,1,38,9615,28195,1.54
attempt127_hull,2.0,ok,1,38,23589,77150,4.18
attempt127_hull,1.8,ok,1,38,28838,94019,5.13
attempt128_hull,3.0,ok,1,46,9623,28190,1.53
attempt128_hull,2.0,ok,1,46,23595,77182,7.47
attempt128_hull,1.8,ok,1,46,28929,94159,5.19
attempt128_star,3.0,ok,1,66,9870,28771,1.61
attempt128_star,2.0,ok,1,66,23643,77116,4.35
attempt128_star,1.8,ok,1,66,29040,94310,5.32
attempt129_hull,3.0,ok,1,34,9586,28052,1.53
attempt129_hull,2.0,ok,1,34,23793,77733,4.25
attempt129_hull,1.8,ok,1,34,29044,94573,5.21
attempt129_star,3.0,ok,1,38,9706,28402,1.57
attempt129_star,2.0,ok,1,38,23614,77213,7.71
attempt129_star,1.8,ok,1,38,28964,94289,5.23
attempt12_hull,3.0,ok,1,38,9482,27762,1.61
attempt12_hull,2.0,ok,1,38,23533,77006,4.3
attempt12_hull,1.8,ok,1,38,28831,93930,5.23
attempt12_star,3.0,ok,1,50,9691,28207,1.58
attempt12_star,2.0,ok,1,50,23853,77736,4.41
attempt12_star,1.8,ok,1,50,29222,94885,5.5
attempt130_hull,3.0,ok,1,34,9521,27771,4.41
attempt130_hull,2.0,ok,1,34,23719,77317,4.3
attempt130_hull,1.8,ok,1,34,29054,94406,5.24
attempt131_hull,3.0,ok,1,38,9713,28407,1.56
attempt131_hull,2.0,ok,1,38,23867,77868,4.34
attempt131_hull,1.8,ok,1,38,29153,94827,5.55
attempt131_star,3.0,ok,1,46,9636,28052,1.58
attempt131_star,2.0,ok,1,46,23549,76755,4.37
attempt131_star,1.8,ok,1,46,28873,93590,8.2
attempt132_hull,3.0,ok,1,34,9562,27932,1.53
attempt132_hull,2.0,ok,1,34,23611,77034,4.31
attempt132_hull,1.8,ok,1,34,28831,93751,5.46
attempt132_star,3.0,ok,1,50,9764,28456,1.57
attempt132_star,2.0,ok,1,50,23821,77654,4.42
attempt132_star,1.8,ok,1,50,29800,101589,6.4
attempt133_hull,3.0,ok,1,34,9486,27749,1.52
attempt133_hull,2.0,ok,1,34,23583,77178,4.56
attempt133_hull,1.8,ok,1,34,28919,94110,8.01
attempt133_star,3.0,ok,1,54,9707,28240,1.59
attempt133_star,2.0,ok,1,54,23806,77529,4.42
attempt133_star,1.8,ok,1,54,29119,94457,5.32
attempt134_hull,3.0,ok,1,50,9574,28078,1.56
attempt134_hull,2.0,ok,1,50,23419,76617,4.22
attempt134_hull,1.8,ok,1,50,28629,93378,5.19
attempt135_hull,3.0,ok,1,42,9622,28135,1.57
